,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added[3][4],CIK,Founded
245,JM Smucker,SJM,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/2008,91419,
246,Johnson & Johnson,JNJ,reports,Health Care,Health Care Equipment,"New Brunswick, New Jersey",6/30/1973,200406,
247,Johnson Controls International,JCI,reports,Industrials,Building Products,"Cork, Ireland",8/27/2010,833444,
248,JPMorgan Chase & Co.,JPM,reports,Financials,Diversified Banks,"New York, New York",6/30/1975,19617,
249,Juniper Networks,JNPR,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604,1886
250,Kellogg Co.,K,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,
251,KeyCorp,KEY,reports,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,91576,1996
252,Keysight Technologies,KEYS,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018,1601046,
253,Kimberly-Clark,KMB,reports,Consumer Staples,Household Products,"Irving, Texas",,55785,1906
254,Kimco Realty,KIM,reports,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,879101,
255,Kinder Morgan,KMI,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,1506307,2014
256,KLA-Tencor Corp.,KLAC,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1872
257,Kohl's Corp.,KSS,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,
258,Kroger Co.,KR,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1975/1977 (1997)
259,L-3 Communications Holdings,LLL,reports,Industrials,Aerospace & Defense,"New York, New York",,1056239,
260,Laboratory Corp. of America Holding,LH,reports,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,920148,1883
261,Lam Research,LRCX,reports,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,707549,
262,Leggett & Platt,LEG,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,
263,Lennar Corp.,LEN,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/2005,920760,
264,Lilly (Eli) & Co.,LLY,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,59478,
265,Lincoln National,LNC,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,59558,1883
266,Linde plc,LIN,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/1992,1707925,
267,LKQ Corporation,LKQ,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016,1065696,1876
268,Lockheed Martin Corp.,LMT,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,936468,
269,Loews Corp.,L,reports,Financials,Multi-line Insurance,"New York, New York",,60086,
270,Lowe's Cos.,LOW,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667,
271,LyondellBasell,LYB,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,1489393,
272,M&T Bank Corp.,MTB,reports,Financials,Regional Banks,"Buffalo, New York",,36270,
273,Macerich,MAC,reports,Real Estate,Retail REITs,"Santa Monica, California",5/9/2013,912242,1904/1946/1959
274,Macy's Inc.,M,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367,
275,Marathon Oil Corp.,MRO,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,101778,1856
276,Marathon Petroleum,MPC,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,1510295,
277,Marriott Int'l.,MAR,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1929
278,Marsh & McLennan,MMC,reports,Financials,Insurance Brokers,"New York, New York",8/31/1987,62709,
279,Martin Marietta Materials,MLM,reports,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076,
280,Masco Corp.,MAS,reports,Industrials,Building Products,"Taylor, Michigan",6/30/1981,62996,1927
281,Mastercard Inc.,MA,reports,Information Technology,Internet Software & Services,"Harrison, New York",7/18/2008,1141391,
282,Mattel Inc.,MAT,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/1982,63276,
283,McCormick & Co.,MKC,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754,
284,McDonald's Corp.,MCD,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,63908,
285,McKesson Corp.,MCK,reports,Health Care,Health Care Distributors,"San Francisco, California",,927653,
286,Medtronic plc,MDT,reports,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,64670,1889
287,Merck & Co.,MRK,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158,1983
288,MetLife Inc.,MET,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1940
289,Mettler Toledo,MTD,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1037646,1833
290,MGM Resorts International,MGM,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,789570,
291,Microchip Technology,MCHP,reports,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,827054,1891
292,Micron Technology,MU,reports,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,723125,1868
293,Microsoft Corp.,MSFT,reports,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019,
294,Mid-America Apartments,MAA,reports,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,912595,
295,Mohawk Industries,MHK,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/2013,851968,
296,Molson Coors Brewing Company,TAP,reports,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,24545,
297,Mondelez International,MDLZ,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/2012,1103982,1975
298,Monster Beverage,MNST,reports,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,865752,
299,Moody's Corp,MCO,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,
300,Morgan Stanley,MS,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,
301,Motorola Solutions Inc.,MSI,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505,
302,MSCI Inc,MSCI,reports,Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,1408198,1909
303,"Nasdaq, Inc.",NDAQ,reports,Financials,Financial Exchanges & Data,"New York, New York",10/22/2008,1120193,
304,National Oilwell Varco Inc.,NOV,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/2005,1021860,1928 (2011)
305,Nektar Therapeutics,NKTR,reports,Health Care,Pharmaceuticals,"San Francisco, California",3/19/2018,906709,
306,NetApp,NTAP,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",6/25/1999,1002047,
307,Netflix Inc.,NFLX,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,1065280,
308,Newell Brands,NWL,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/1989,814453,
309,News Corp. Class A,NWSA,reports,Communication Services,Publishing,"New York, New York",8/1/2013,1564708,
310,News Corp. Class B,NWS,reports,Communication Services,Publishing,"New York, New York",9/18/2015,1564708,1997
311,NextEra Energy,NEE,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/1976,753308,
312,Nielsen Holdings,NLSN,reports,Industrials,Research & Consulting Services,"New York, New York",7/9/2013,1492633,
313,Nike,NKE,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,320187,1921
314,NiSource Inc.,NI,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,
315,Nordstrom,JWN,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/1986,72333,
316,Norfolk Southern Corp.,NSC,reports,Industrials,Railroads,"Norfolk, Virginia",,702165,
317,Northern Trust Corp.,NTRS,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,
318,Northrop Grumman Corp.,NOC,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/1985,1133421,1912
319,Norwegian Cruise Line,NCLH,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/2017,1513761,
320,NRG Energy,NRG,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1/29/2010,1013871,
321,Nucor Corp.,NUE,reports,Materials,Steel,"Charlotte, North Carolina",4/30/1985,73309,1881/1894 (1980)
322,Nvidia Corporation,NVDA,reports,Information Technology,Semiconductors,"Santa Clara, California",11/30/2001,1045810,1889
323,O'Reilly Automotive,ORLY,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/2009,898173,
324,Occidental Petroleum,OXY,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",12/31/1982,797468,
325,Omnicom Group,OMC,reports,Communication Services,Advertising,"New York, New York",,29989,
326,ONEOK,OKE,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/2010,1039684,
327,Oracle Corp.,ORCL,reports,Information Technology,Application Software,"Redwood Shores, California",8/31/1989,1341439,
328,PACCAR Inc.,PCAR,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/1980,75362,
329,Packaging Corporation of America,PKG,reports,Materials,Paper Packaging,"Lake Forest, Illinois",7/26/2017,75677,
330,Parker-Hannifin,PH,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/1985,76334,1986
331,Paychex Inc.,PAYX,reports,Information Technology,Internet Software & Services,"Penfield, New York",,723531,
332,Pentair plc,PNR,reports,Industrials,Industrial Machinery,"Worsley, UK",10/1/2012,77360,
333,People's United Financial,PBCT,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/2008,1378946,
334,PepsiCo Inc.,PEP,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,
335,PerkinElmer,PKI,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/1985,31791,1971
336,Perrigo,PRGO,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",12/19/2011,1585364,
337,Pfizer Inc.,PFE,reports,Health Care,Pharmaceuticals,"New York, New York",,78003,
338,Philip Morris International,PM,reports,Consumer Staples,Tobacco,"New York, New York",3/31/2008,1413329,
339,Phillips 66,PSX,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/2012,1534701,1898
340,Pinnacle West Capital,PNW,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,
341,Pioneer Natural Resources,PXD,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/2008,1038357,
342,PNC Financial Services,PNC,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/1988,713676,1849
343,Polo Ralph Lauren Corp.,RL,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/2007,1037038,
344,PPG Industries,PPG,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,
345,PPL Corp.,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1985
346,Principal Financial Group,PFG,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/2002,1126328,
347,Procter & Gamble,PG,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,
348,Progressive Corp.,PGR,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/1997,80661,
349,Prologis,PLD,reports,Real Estate,Industrial REITs,"San Francisco, California",7/17/2003,1045609,1883
350,Prudential Financial,PRU,reports,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/2002,1137774,
351,Public Serv. Enterprise Inc.,PEG,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
352,Public Storage,PSA,reports,Real Estate,Specialized REITs,"Glendale, California",8/19/2005,1393311,1837
353,Pulte Homes Inc.,PHM,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/1984,822416,
354,PVH Corp.,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/2013,78239,
355,Qorvo,QRVO,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/2015,1604778,
356,Quanta Services Inc.,PWR,reports,Industrials,Construction & Engineering,"Houston, Texas",7/1/2009,1050915,
357,QUALCOMM Inc.,QCOM,reports,Information Technology,Semiconductors,"San Diego, California",,804328,
358,Quest Diagnostics,DGX,reports,Health Care,Health Care Services,"Madison, New Jersey",12/12/2002,1022079,
359,Raymond James Financial Inc.,RJF,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/2017,720005,
360,Realty Income Corporation,O,reports,Real Estate,Retail REITs,"San Diego, California",4/7/2015,726728,
361,Regency Centers Corporation,REG,reports,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/2017,910606,1985
362,Regeneron,REGN,reports,Health Care,Biotechnology,"Tarrytown, New York",5/1/2013,872589,
363,Regions Financial Corp.,RF,reports,Financials,Regional Banks,"Birmingham, Alabama",8/28/1998,1281761,1922
364,Republic Services Inc,RSG,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/2008,1060391,
365,ResMed,RMD,reports,Health Care,Health Care Equipment,"San Diego, California",7/26/2017,943819,
366,Robert Half International,RHI,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/2000,315213,
367,Rockwell Automation Inc.,ROK,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
368,Rollins Inc.,ROL,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/2018,84839,
369,Roper Technologies,ROP,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,882835,
370,Ross Stores,ROST,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/2009,745732,
371,Royal Caribbean Cruises Ltd,RCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/2014,884887,
372,Salesforce.com,CRM,reports,Information Technology,Internet Software & Services,"San Francisco, California",9/15/2008,1108524,
373,SBA Communications,SBAC,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/2017,1034054,
374,Schlumberger Ltd.,SLB,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/1965,87347,
375,Seagate Technology,STX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/2012,1137789,
376,Sealed Air,SEE,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100,
377,Sempra Energy,SRE,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,
378,Sherwin-Williams,SHW,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,89800,
379,Simon Property Group Inc,SPG,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/2002,1063761,1926
380,Skyworks Solutions,SWKS,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/2015,4127,
381,SL Green Realty,SLG,reports,Real Estate,Office REITs,"New York, New York",3/20/2015,1040971,
382,Snap-on,SNA,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/1982,91440,
383,Southern Co.,SO,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,1866
384,Southwest Airlines,LUV,reports,Industrials,Airlines,"Dallas, Texas",7/1/1994,92380,
385,"S&P Global, Inc.",SPGI,reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,
386,Stanley Black & Decker,SWK,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/1982,93556,
387,Starbucks Corp.,SBUX,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,
388,State Street Corp.,STT,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,
389,Stryker Corp.,SYK,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,310764,
390,SVB Financial,SIVB,reports,Financials,Regional Banks,"Santa Clara, California",3/19/2018,719739,
391,Synchrony Financial,SYF,reports,Financials,Consumer Finance,"Stamford, Connecticut",11/18/2015,1601712,1971
392,Synopsys Inc.,SNPS,reports,Information Technology,Application Software,"Mountain View, California",3/16/2017,883241,
393,Sysco Corp.,SYY,reports,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,96021,
394,T. Rowe Price Group,TROW,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,
395,Take-Two Interactive,TTWO,reports,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/2018,946581,
396,"Tapestry, Inc.",TPR,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,
397,Target Corp.,TGT,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,27419,
398,TE Connectivity Ltd.,TEL,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/2011,1385157,
399,TechnipFMC,FTI,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/2009,1681459,1937
400,Teleflex Inc,TFX,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/2019,96943,
401,Texas Instruments,TXN,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,2017
402,Textron Inc.,TXT,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978,217346,
403,Thermo Fisher Scientific,TMO,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745,
404,"Twitter, Inc.",TWTR,reports,Communication Services,Interactive Media & Services,"San Francisco, California",6/7/2018,1418091,
405,TJX Companies Inc.,TJX,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,109198,1930
406,Tractor Supply Company,TSCO,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,916365,
407,TransDigm Group,TDG,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,1260221,
408,The Travelers Companies Inc.,TRV,reports,Financials,Property & Casualty Insurance,"New York, New York",8/21/2002,86312,
409,TripAdvisor,TRIP,reports,Communication Services,Interactive Media & Services,"Newton, Massachusetts",12/21/2011,1526520,
410,Tyson Foods,TSN,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,
411,UDR Inc,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,74208,
412,Ulta Beauty,ULTA,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,1403568,
413,U.S. Bancorp,USB,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,
414,Under Armour Class A,UAA,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/2016,1336917,
415,Union Pacific,UNP,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,
416,United Continental Holdings,UAL,reports,Industrials,Airlines,"Chicago, Illinois",9/3/2015,100517,
417,United Health Group Inc.,UNH,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,731766,
418,United Parcel Service,UPS,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/2002,1090727,
419,"United Rentals, Inc.",URI,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1067701,1968
420,"Universal Health Services, Inc.",UHS,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,352915,
421,Unum Group,UNM,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/1994,5513,
422,V.F. Corp.,VFC,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/1979,103379,
423,Valero Energy,VLO,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,
424,Ventas Inc,VTR,reports,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,740260,
425,Verisign Inc.,VRSN,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,1014473,
426,Verisk Analytics,VRSK,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015,1442145,
427,Verizon Communications,VZ,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/1983,732712,
428,Vertex Pharmaceuticals Inc,VRTX,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/2013,875320,
429,Visa Inc.,V,reports,Information Technology,Internet Software & Services,"San Francisco, California",12/21/2009,1403161,
430,Vornado Realty Trust,VNO,reports,Real Estate,Office REITs,"New York, New York",,899689,
431,Vulcan Materials,VMC,reports,Materials,Construction Materials,"Birmingham, Alabama",6/30/1999,1396009,1980
432,Walmart,WMT,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/1982,104169,
433,Walgreens Boots Alliance,WBA,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,1618921,
434,The Walt Disney Company,DIS,reports,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1001039,
435,Waste Management Inc.,WM,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,
436,Waters Corporation,WAT,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,
437,Wec Energy Group Inc,WEC,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/2008,783325,
438,Wells Fargo,WFC,reports,Financials,Diversified Banks,"San Francisco, California",6/30/1976,72971,
439,Welltower Inc.,WELL,reports,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/2009,766704,
440,Western Digital,WDC,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/2009,106040,
441,Western Union Co,WU,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,
442,Weyerhaeuser,WY,reports,Materials,Lumber & Wood Production,"Seattle, Washington",,106535,
443,Whirlpool Corp.,WHR,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,
444,Williams Cos.,WMB,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/1975,107263,1968
445,Willis Towers Watson,WLTW,reports,Financials,Insurance Brokers,"London, United Kingdom",1/5/2016,1140536,1958
446,Wynn Resorts Ltd,WYNN,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/2008,1174922,
447,Xcel Energy Inc,XEL,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,
448,Xerox,XRX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,
449,Xilinx,XLNX,reports,Information Technology,Semiconductors,"San Jose, California",11/8/1999,743988,
450,Xylem Inc.,XYL,reports,Industrials,Industrial Machinery,"White Plains, New York",11/1/2011,1524472,
451,Yum! Brands Inc,YUM,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/1997,1041061,1851
452,Zimmer Biomet Holdings,ZBH,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/2001,1136869,
453,Zions Bancorp,ZION,reports,Financials,Regional Banks,"Salt Lake City, Utah",6/22/2001,109380,
454,Zoetis,ZTS,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/2013,1555280,1911
